,2.7
Steep,3.5
Stefan Zweig: Farewell to Europe,3.3
Stefano Quantestorie,3.4
Steins;Gate the Movie: The Burden of Déjà vu,3.8
Stella,2.6
Stella,3.3
Stella,0.5
Stella,2.7
Stella Dallas,3.6
Stella Does Tricks,3.0
Stella Maris,3.3
Stella Street,2.8
Stella's Last Weekend,4.0
Stella: Live in Boston,4.0
Stellaluna,3.8
Stellanomicon: Future Fear,0.5
Stellar,3.3
"Stendhal Syndrome, The (Sindrome di Stendhal, La)",2.8
Stenka Razin,1.8
Step,3.7
Step,2.0
Step Across the Border,4.2
Step Brothers,3.5
Step Dogs,2.0
Step Into Liquid,3.8
Step Lively,3.0
Step Sisters,3.2
Step Up,3.3
Step Up 2 the Streets,3.1
Step Up 3D,3.2
Step Up All In,3.3
Step Up Revolution,3.3
Step Up to the Plate,3.5
Step Up: Year of the Dance,4.0
Step by Step,2.7
Stepan's Remembrance,3.5
Stepfather II,2.2
Stepfather III,2.3
"Stepfather, The",3.2
"Stepfather, The",2.8
"Stepford Wives, The",3.3
"Stepford Wives, The",2.7
Stephanie,3.1
Stephanie Daley,3.1
Stephanie's Image,0
Stephen Fry In America - New World,3.4
Stephen Fry Live: More Fool Me,3.8
Stephen Fry: The Secret Life of the Manic Depressive,3.8
Stephen Lynch: Hello Kalamazoo,0
Stephen Lynch: Live at the El Rey,2.8
Stephen Tobolowsky's Birthday Party,3.9
Stepmom,3.3
Stepmonster,4.0
Steppenwolf,2.6
Stepping Out,2.8
Stepsister from Planet Weird,2.8
Steptoe and Son,4.1
Steptoe and Son Ride Again,4.1
Stereo,2.8
Stereo,3.5
"Sterile Cuckoo, The",3.1
Sterva,4.0
Stesso mare stessa spiaggia,2.0
Steve Byrne: Champion,2.7
Steve Jobs,3.5
Steve Jobs: The Lost Interview,3.6
Steve Jobs: The Man in the Machine,3.3
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,3.0
Steve Martin: A Wild and Crazy Guy,4.2
Steve McQueen: Man on the Edge,3.0
Steve McQueen: The Man & Le Mans,3.0
Steve Rannazzisi: Breaking Dad,0
Steve-O: Gnarly,3.3
Steve-O: Guilty as Charged,2.3
Steven Banks: Home Entertainment Center,3.5
Steven Universe: The Movie,3.5
Steven Wright: When the Leaves Blow Away,3.2
Stevie,3.9
Stevie,2.9
Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,4.5
Stewardess School,2.7
Stewart & Mitchum: The Two Faces of America,1.0
Stewart Lee: 41st Best Stand-Up Ever!,3.0
Stewart Lee: 90s Comedian,4.0
Stewart Lee: Carpet Remnant World,4.5
Stewart Lee: Content Provider,4.3
Stewart Lee: Stand-Up Comedian,3.9
Stick,2.9
Stick Around,2.5
Stick It,3.3
Stick Man,3.2
Stickman,1.9
Stickmen,2.5
Sticks and Stones: Investigating the Blair Witch,1.5
"Stickup, The",3.2
Sticky Fingers,2.0
"Sticky Fingers of Time, The",3.0
Sticky Notes,3.0
Sticky: A (Self) Love Story,2.0
Stiff Upper Lips,2.9
Stigma,0
Stigmata,3.0
Stiletto,2.6
Stiletto,0
Still,2.4
Still,2.5
Still Alice,3.8
Still Alive,2.5
Still Alive: A Film About Krzysztof Kieslowski,0
Still Bill,4.0
Still Breathing,3.2
Still Burning,5.0
Still Crazy,3.3
Still Green,2.0
Still Here,3.5
Still Human,3.8
Still Laugh-In: The Stars Celebrate,3.2
Still Life,3.6
Still Life,3.7
Still Life,3.4
Still Life,2.2
Still Life,3.6
Still Life (Sanxia haoren),3.8
Still Mine,3.8
Still Not Quite Human,3.9
Still Out of My League,3.7
"Still Raining, Still Dreaming",2.0
Still River,3.2
Still Screaming: The Ultimate Scary Movie Retrospective,0
Still Small Voices,3.3
Still Time,4.1
Still Today,2.8
Still Walking (Aruitemo aruitemo),3.9
Still of the Night,3.2
Still on the Run: The Jeff Beck Story,3.5
Still the Water,3.4
Still/Born,3.1
Still: A Michael J. Fox Movie,3.6
Stille Nacht I: Dramolet,3.4
Stille Nacht III: Tales from the Vienna Woods,2.7
Stille Nacht IV: Can't Go Wrong Without You,3.4
Stille nacht,2.0
Stillwater,3.3
Sting,3.5
"Sting II, The",2.6
Sting of Death,1.8
Sting of the Black Scorpion,3.2
"Sting, The",4.1
Stingaree,3.0
Stingray,2.0
Stingray,0
Stink Bomb,3.3
Stink!,3.3
Stinking Heaven,2.0
Stir Crazy,3.3
Stir of Echoes,3.5
Stir of Echoes: The Homecoming,2.2
Stitch,3.0
Stitch! The Movie,3.2
Stitches,1.8
Stitches,3.0
Stockholm,2.9
Stockholm,3.0
Stockholm Boogie,2.5
Stockholm East (Stockholm Östra),3.5
Stockholm Stories,3.1
"Stockholm, My Love",3.5
"Stockholm, Pennsylvania",2.6
Stoked: The Rise and Fall of Gator,3.5
Stoker,3.4
Stoker Hills,2.0
Stolen,2.7
Stolen (Stolen Lives),3.2
"Stolen Children (Ladro di bambini, Il)",3.5
"Stolen Collection, (Skradziona kolekcja)",4.3
Stolen Days,4.0
Stolen Death,2.9
Stolen Desire,3.0
Stolen Dreams,2.5
Stolen Face,2.4
Stolen Glory,3.0
Stolen Identity,2.3
Stolen Identity,3.2
Stolen Kisses (Baisers volés),3.9
"Stolen Life, A",3.5
Stolen Seas,3.5
Stolen Spring,3.0
Stolen Summer,3.0
Stolen from the Suburbs,3.0
Stomp Live,4.1
Stomp the Yard,2.9
Stomp the Yard 2: Homecoming,3.2
Stomping Ground,0
Stonados,2.6
Stone,2.7
Stone,2.6
Stone,2.7
Stone & Ed,2.2
Stone Age Warriors,4.0
"Stone Angel, The",2.8
Stone Cold,2.7
Stone Cold Dead,2.8
Stone Cold Steve Austin: The Bottom Line on the Most Popular Superstar of All Time,2.7
Stone Fox,4.5
"Stone Left Unturned, A (Kovat miehet)",3.6
Stone Pillow,3.0
Stone Reader,3.7
Stone Temple Pilots: Alive in the Windy City,3.5
Stone Turtle,2.8
Stone Years,3.7
Stone of Destiny,3.4
"Stone's Throw Away, A (A tiro de piedra)",2.5
Stonebridge Park,3.2
Stonebrook,0.5
Stoned,2.4
Stonehearst Asylum,3.4
Stonehenge Apocalypse,2.1
Stonemouth,2.8
Stoner Express,3.0
Stonerville,0
Stones for the Rampart,3.6
Stones in Exile,3.5
Stonewall,3.5
Stonewall,2.7
Stonewall Uprising,3.6
"Stoning of Soraya M., The",3.8
"Stooge, The",2.8
Stoogemania,0.5
Stop,3.0
Stop Filming Us,0
Stop Making Sense,4.1
Stop Potapov!,3.5
Stop Thief!,2.6
Stop Train 349,3.0
Stop and Go,3.2
Stop the Pounding Heart,4.1
Stop the Wedding,2.5
Stop! Look! and Hasten!,3.7
Stop! Or My Mom Will Shoot,1.8
Stop-Loss,3.2
Stop-Zemlia,3.5
"Stoplight Society, The (La Sociedad del Semáforo)",3.8
Stopped on Track,3.1
Stopping Traffic: The Movement to End Sex Trafficking,3.5
Storage,2.8
Storefront Hitchcock,3.4
Storie sospese,3.5
Stories Not to be Told,5.0
Stories We Tell,3.8
Stories from the Kronen,3.1
Stories of Lost Souls,2.4
Stork,3.8
Storks,3.2
Storm,3.6
Storm,2.0
Storm,3.0
Storm - Letter of Fire,3.0
Storm Boy,4.0
Storm Boy,3.5
Storm Cell,2.0
Storm Center,2.2
Storm Chasers: Revenge of the Twister,2.5
"Storm Children, Book One",4.0
Storm Damage,3.0
Storm Fear,3.5
Storm Lake,4.0
Storm Over Asia (Potomok Chingis-Khana),3.2
Storm Over the Pacific,3.5
Storm Seekers,2.2
Storm Under the Sun,3.5
Storm Warning,2.6
Storm Warning,2.9
"Storm Warriors, The (Fung wan II)",2.4
Storm Watch,3.0
Storm at Daybreak,0
Storm in a Teacup,3.3
Storm over the Nile,3.0
Stormageddon,2.7
Stormbreaker (Alex Rider: Operation Stormbreaker),2.7
Stormforce,3.0
Stormheart,2.0
Storming Juno,2.5
Stormswept,1.8
Stormy Monday,3.2
Stormy Night,3.6
Stormy Trails,3.0
Stormy Weather,3.5
Stormy Weather,3.0
Story Of Queen: Mercury Rising,4.0
"Story Written with Water, A (Mizu de kakareta monogatari)",3.2
"Story of Adele H., The (Histoire d'Adèle H., L')",3.5
"Story of Dr. Wassell, The",3.0
"Story of Esther Costello, The",3.0
"Story of Film: An Odyssey, The",4.1
"Story of Floating Weeds, A (Ukikusa monogatari)",3.6
Story of G.I. Joe,3.4
Story of Judas,4.0
"Story of Louis Pasteur, The",3.3
"Story of Luke, The",3.4
"Story of Mankind, The",2.2
"Story of Marie and Julien, The (Histoire de Marie et Julien)",3.5
"Story of Maths, The",3.9
"Story of Me, The (O contador de histórias)",3.6
Story of My Death,3.8
"Story of My Life, The (Mensonges et trahisons et plus si affinités...)",3.2
Story of Night,4.0
"Story of O, The (Histoire d'O)",3.1
Story of One Crime,3.2
"Story of Qiu Ju, The (Qiu Ju da guan si)",3.7
"Story of Ruth, The",3.8
"Story of Science, The",4.6
"Story of Seabiscuit, The",3.1
"Story of Temple Drake, The",3.5
"Story of Three Loves, The",3.1
"Story of Us, The",2.9
"Story of Vernon and Irene Castle, The",3.2
"Story of Women (Affaire de femmes, Une)",3.7
"Story of Xinghua, The (Xinghua san yue tian)",3.8
Story of a Bad Boy,5.0
"Story of a Cheat, The (Roman d'un tricheur, Le)",3.2
Story of a Girl,4.0
Story of a Junkie,3.0
Story of a Love Affair (Cronaca di un amore),3.2
Story of a Love Story,2.5
Story of a Prostitute (Shunpu den),3.3
Story of an Unknown Man,2.0
"Story of the Late Chrysanthemums, The (Zangiku monogatari)",3.9
"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die)",3.7
Storytelling,3.5
Storytime,3.4
Storyville,2.7
Stowaway,3.3
Stowaway,3.0
Stowaway,1.9
Stowaway in the Sky,4.5
Strach,3.0
"Strada, La",4.0
Straight A's,2.9
Straight Into Darkness,3.5
Straight Into a Storm,4.0
Straight Is the Way,0
Straight Men & the Men Who Love Them,1.8
Straight Out of Brooklyn,2.8
Straight Outta Compton,3.7
Straight Outta LA,3.3
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2.7
Straight Shooter,2.5
Straight Shooters,2.9
Straight Shooting,4.0
Straight Story,2.6
"Straight Story, The",3.9
Straight Talk,2.7
Straight Time,3.7
Straight Up,3.5
Straight from the Barrio (Talento de barrio) (2008),2.9
Straight from the Heart,3.8
Straight on Till Morning,2.3
Straight to Hell,2.9
Straight to the Point,3.2
Straight-Jacket,3.6
Straightheads (Closure),2.8
Strait-Jacket,3.2
"Straits of Love and Hate, The (Aien kyo)",3.5
Stranded,2.1
Stranded,0
Stranded,2.5
Stranded,3.8
Stranded,2.9
Stranded,3.0
Stranded,0.5
Stranded,3.5
Stranded,2.0
Stranded in Paradise,0.5
Stranded: I've Come from a Plane That Crashed on the Mountains,3.3
Strange Affair,0
"Strange Affair of Uncle Harry, The",3.1
Strange Bargain,1.8
Strange Battle,1.5
Strange Bedfellows,2.7
Strange Bedfellows,2.3
Strange Behavior,2.5
Strange Blood,1.2
Strange Brew,3.6
Strange But True,2.7
Strange Cargo,3.2
"Strange Case of Angelica, The (O Estranho Caso de Angélica)",3.2
"Strange Case of Dr. Jekyll and Mr. Hyde, The",3.3
"Strange Case of the End of Civilization as We Know It, The",1.9
Strange Circus (Kimyô na sâkasu),3.4
Strange Codes,3.0
"Strange Color Of Your Body's Tears, The (L'étrange couleur des larmes de ton corps)",3.1
Strange Colours,3.5
Strange Confession,0
Strange Confession,3.0
Strange Culture,2.5
Strange Days,3.4
"Strange Door, The",2.5
Strange Frequency,4.0
Strange Fruit,1.5
Strange Gardens,2.8
Strange Girl,4.2
Strange Girls,2.5
Strange Hearts,4.0
Strange Heaven,3.5
Strange Horizons,1.0
Strange Illusion,2.8
Strange Impersonation,2.3
Strange Invaders,3.0
"Strange Love of Martha Ivers, The",3.6
Strange Magic,3.1
Strange Negotiations,4.0
Strange New World,1.5
"Strange One, The",3.7
Strange Planet,2.5
Strange Powers: Stephin Merritt and the Magnetic Fields,3.8
Strange Relations,3.5
Strange Voyage,3.5
Strange Weather,2.6
Strange Wilderness,2.6
Strange World,2.8
Strangeland,2.3
Stranger,4.0
"Stranger Among Us, A",2.8
Stranger At The Gate,3.3
Stranger Fruit,2.8
Stranger Than Paradise,3.9
Stranger Things,4.4
Stranger at the Door,2.5
Stranger by the Lake (L'inconnu du lac),3.5
Stranger from Venus,2.0
"Stranger in Me, The (Das Fremde in mir)",3.5
Stranger in My House,5.0
Stranger in My Pocket,3.5
Stranger in Our House,2.3
"Stranger in Town, A",3.4
Stranger in a Cab,3.0
Stranger in the House,3.0
Stranger on the Prowl (Imbarco a mezzanotte),3.0
Stranger on the Third Floor,3.2
Stranger than Fiction,3.8
Stranger with My Face,3.0
"Stranger's Heart, A",2.2
"Stranger, Say Your Prayers!",4.0
"Stranger, The",3.1
"Stranger, The",3.7
"Stranger, The (Agantuk) (Visitor, The)",3.9
"Stranger, The (Straniero, Lo)",3.4
Strangerland,2.9
Strangers,3.6
Strangers,2.3
Strangers May Kiss,3.0
Strangers When We Meet,3.2
Strangers in Good Company,3.9
Strangers in the Night,2.7
Strangers on a Train,4.1
Strangers with Candy,3.0
"Strangers, The",3.1
Stranglehold,1.0
Strangler of the Swamp,1.8
Strangler vs Strangler,3.7
"Strangler, The",2.5
Strapped,3.6
Strapped,2.2
Strapped for Danger,2.7
Strasbourg 1518,2.2
Strategic Air Command,2.8
Strategic Command,2.8
"Strategy of the Snail, The (Estrategia del Caracol, La)",3.7
Stratos,3.7
Stratosphere Girl,3.4
Stratton,2.3
"Stratton Story, The",3.4
Straw Dogs,3.7
Straw Dogs,3.0
Strawberries Need Rain,0.5
"Strawberry Blonde, The",3.2
Strawberry Boys,3.5
Strawberry Days,3.4
Strawberry Fields,4.0
Strawberry Flavored Plastic,2.8
Strawberry Mansion,3.4
"Strawberry Shortcake: Berry, Merry Christmas",2.9
"Strawberry Statement, The",3.5
Strawberry Summer,4.2
Strawberry Wine,2.8
Strawberry and Chocolate (Fresa y chocolate),3.8
Strawinsky and the Mysterious House,1.0
Stray,2.7
Stray,2.7
Stray,3.1
Stray Bullets,2.5
Stray Cat Rock: Beat '71,3.0
Stray Cat Rock: Wild Jumbo,2.5
Stray Dog,3.6
Stray Dog,3.0
Stray Dog,3.5
Stray Dog (Nora inu),3.9
Stray Dog: Kerberos Panzer Cops (Jigoku no banken: kerubersu),3.1
Stray Dogs,3.3
Stray Dogs (Sag-haye velgard),2.6
Stray Dolls,3.7
Strayed,1.8
Strayed,1.9
"Strayed (égarés, Les)",3.3
Strays,2.7
Strays,2.2
"Straziami, ma di baci saziami",3.3
Streaker,4.0
"Streaks, The (Pregi)",3.2
Stream of Love,4.1
Streamers,3.1
Streamline,3.5
Streamline Express,1.5
Streamlined Greta Green,3.0
Streamlined Swing,3.0
Stree,3.6
Street,2.5
Street Angel,3.4
Street Angel,3.1
Street Asylum,3.0
Street Corner,3.0
Street Dancer 3D,2.4
Street Days,0.5
Street Dreams,3.5
Street Fight,3.8
Street Fighter,1.9
Street Fighter Alpha - The Movie,2.9
Street Fighter Alpha: Generations,2.9
Street Fighter IV: The Ties That Bind,2.5
"Street Fighter, The (Gekitotsu! Satsujin ken)",3.1
Street Fighter: Assassin's Fist,2.9
Street Fighter: Round One - FIGHT!,1.0
Street Fighter: The Legend of Chun-Li,2.0
Street Flow,3.0
Street Gang: How We Got to Sesame Street,3.4
Street Girl,3.0
Street Girls,0
Street Kings,3.3
Street Kings 2: Motor City,2.1
Street Knight,3.5
Street Law,3.4
Street Level,5.0
Street Mobster (a.k.a. Modern Yakuza: Outlaw Killer) (Gendai yakuza: hito-kiri yota),3.0
Street People,2.4
Street Racer,1.8
Street Scene,3.4
Street Scenes (1970),3.3
Street Smart,2.8
Street Thief,3.6
Street Trash,2.7
Street War,3.0
Street Warrior,1.5
Street Without End (Kagirinaki hodo),3.5
Street of Chance,3.0
Street of Chance,3.2
Street of Crocodiles,3.7
Street of No Return,2.5
Street of Shadows,3.0
Street of Shame (Akasen chitai),3.9
"Street with No Name, The",3.3
StreetDance 2,2.6
StreetDance 3D,3.1
Streetballers,3.2
"Streetcar Named Desire, A",3.9
Streets,5.0
Streets of Fire,3.1
Streets of Laredo,3.2
Streetwalkin',3.3
Streetwise,4.1
Streif: One Hell of a Ride,3.5
Streit's: Matzo and the American Dream,3.0
Strella,3.2
Streltsov,2.1
Strength and Honor: Creating the World of 'Gladiator',2.0
Strength and Honour,0.5
Stress - Portrait Of A Killer,4.2
Stress Is Three,3.3
Stress Position,2.5
Stressed,3.3
Stressed To Death,2.0
Stretch,3.2
Stretch and Bobbito: Radio That Changed Lives,3.7
Stricken (Er komt een vrouw bij de dokter),3.6
Strictly Ballroom,3.8
Strictly Business,2.3
Strictly Dishonorable,0
Strictly Sinatra,3.0
"Stride, Soviet!",2.0
Strider,2.0
Strigoi,2.5
Strike,3.2
Strike (Stachka),3.6
Strike Commando,4.2
Strike Commando 2,0
Strike Force,1.6
Strike Me Pink,1.5
Strike Up the Band,3.4
Strike a Pose,3.3
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird)",3.4
Strikebound,0
Striker,0
Striking Distance,2.9
Striking Range,3.2
"String, The (Le fil)",3.0
Strings,3.6
Strip Down Rise Up,2.5
Strip Nude for Your Killer (Nude per l'assassino),2.6
"Strip, The",2.5
Strip-tease,3.2
Striped Trip,3.5
Stripes,3.6
Stripped,3.5
Stripped,0
Stripped Naked,2.0
Stripped to Kill,2.5
Stripped to Kill II: Live Girls,5.0
Stripper,3.5
Stripper Academy,0.8
Stripperland,1.7
Strippers Vs. Werewolves,2.2
Striptease,2.4
Strobe Edge,2.4
Stroke of Luck,2.0
Stroker Ace,2.5
Strokes of Genius,4.2
Stromberg - Der Film,3.3
Stromboli,3.3
Stromboli,3.0
Strong Coffee Isn't That Bad,3.5
Strong Island,3.1
"Strong Man, The",3.1
Strong as a Lion,2.5
Stronger,3.3
Stronger Than The World: The Story of José Aldo,3.1
"Strongest Man in the World, The",2.8
Stronghold,3.5
Strongman,3.5
Strongman Ferdinand,4.5
Stroszek,3.9
Struck,3.0
Struck by Lightning,3.2
Struggle in the Valley,3.5
"Struggle, The",2.5
Struggle: The Life and Lost Art of Szukalski,3.9
Stryker,2.8
Stuart Little,2.9
Stuart Little 2,2.5
Stuart Little 3: Call of the Wild,2.1
Stuart Saves His Family,2.6
Stuart: A Life Backward,3.8
Stubble Trouble,2.3
Stubborn,2.5
Stuber,3.0
Stuck,3.1
Stuck,2.3
Stuck,0
Stuck,3.5
Stuck (2013),2.2
Stuck Apart,2.8
Stuck Between Stations,3.4
Stuck Together,3.0
Stuck in Love,3.8
Stuck in the Suburbs,3.3
Stuck on You,2.7
Stuck on You!,1.0
Stud Life,2.7
Student A,3.5
Student Athlete,2.7
Student Bodies,2.7
Student Bodies,3.8
Student Body,1.5
Student Confidential,0
Student Exchange,0
Student No. 1,4.1
"Student Prince in Old Heidelberg, The",3.3
Student Seduction,1.8
Student Services,2.9
"Student of Prague, The (a.k.a. Bargain with Satan, A) (Student von Prag, Der)",3.2
Student of the Year,2.7
Student of the Year 2,1.8
"Student, The (El estudiante)",3.5
Studentfesten,3.5
Studies in Transfalumination,3.0
Studio 54,3.2
Studio 666,3.0
Studio illegale,2.5
"Study in Choreography for Camera, A",3.2
"Study in Scarlet, A",3.0
"Study in Terror, A",2.4
Study of a River,5.0
Stuff,3.7
Stuff and Dough (Marfa si banii),2.9
"Stuff, The",3.1
Stuffed,3.0
Stukas,2.0
Stump the Guesser,3.4
Stung,2.6
"Stunt Man, The",3.7
Stunt Rock,3.5
Stunt Squad,2.3
Stuntman,3.2
Stuntmen,2.2
Stunts,2.5
Stupid Boy (Garçon stupide),3.4
Stupid Teenagers Must Die,2.5
Stupid Young Heart,3.0
"Stupids, The",2.4
Stupidstitious Cat,3.1
Sturgill Simpson Presents Sound & Fury,2.7
Sturmtruppen,3.8
Stutterer,3.5
Stutz,3.4
Style,2.5
Styria,3.1
Styx,5.0
Styx,3.2
Styx - Caught In The Act,4.0
"Styx and REO Speedwagon: Arch Allies, Live at Riverport",4.0
Su Excelencia,3.6
Su-ki-da,3.7
Su.. Su... Sudhi Vathmeekam,2.5
Sub Down,3.0
Sub Zero,2.5
SubUrbia,3.2
Subconscious Cruelty,2.6
Subdivision,3.0
Subdue,3.1
Sube y Baja,2.5
Subida al cielo,3.7
Subira,1.0
Subject,3.2
Subject Two,2.5
"Subject Was Roses, The",3.2
Subject to Review,4.5
Sublet,3.8
Sublime,2.5
Sublime,3.0
Subliminal Seduction,2.0
Submarine,3.7
Submarine,0
Submarine Command,3.2
Submarine Patrol,2.2
Submarine Raider,0
Submarine Seahawk,2.0
Submarine X-1,2.5
Submarino,3.7
Submerged,2.5
Submerged,2.0
Submergence,2.9
Submission,4.1
Submission,3.3
Submission,1.7
Submission (Underkastelsen),3.0
Submission L.A.,1.0
Submission: Part I,3.0
Subramaniapuram,3.7
Subspecies V: Blood Rise,2.5
"Substance of Fire, The",3.6
"Substitute, The",3.0
"Substitute, The",3.0
"Substitute, The (Vikaren)",2.9
Subterano,3.0
Subterranea,5.0
Suburban Birds,2.0
Suburban Commando,2.1
Suburban Girl,2.6
Suburban Gothic,2.8
Suburban Knights,2.5
Suburban Mayhem,2.7
Suburban Sasquatch,2.9
Suburban Swingers Club,3.5
Suburban Virgin,2.5
"Suburbans, The",2.0
Suburbia,3.5
Suburbicon,2.8
Suburra,3.7
Subway,3.3
Subway Riders,3.5
Success,2.5
Success At Any Price,2.0
Success Is the Best Revenge,3.5
Success Story,2.0
Successful Alcoholics,2.7
"Successful Calamity, A",4.0
Successive Slidings of Pleasure,3.3
Succubus,2.8
Such Good Friends,3.3
Such Good People,2.9
Such Is Life (Así es la vida...),2.8
Such a Long Journey,3.6
Suck,3.1
Suck It Up,3.0
Suck Me Shakespeer 3,2.7
Suck My Geek!,3.0
SuckSeed,3.8
Suckablood,3.0
Sucker,3.1
Sucker Punch,2.9
Sucker Punch,2.3
"Sucker, The (Corniaud, Le)",3.8
Suckerfish,2.5
Suckerfish,3.0
Suckers,3.5
Sud,3.8
Sudani From Nigeria,3.0
Sudden Danger,3.0
Sudden Death,3.0
Sudden Death,0
Sudden Fear,3.4
Sudden Fury,3.6
Sudden Impact,3.2
Sudden Manhattan,2.6
Sudden Terror,2.5
Suddenly,3.4
Suddenly,2.8
Suddenly,2.8
Suddenly (Tan de Repente),3.1
Suddenly It's Spring,0
Suddenly Seventeen,3.3
Suddenly Twenty,3.4
Suddenly in the Dark,2.2
"Suddenly, Last Summer",3.8
"Suddenly, Last Winter (Improvvisamente l'inverno scorso)",2.6
"Suddenly, One Day",3.5
Sudie and Simpson,0
Sudigaadu,2.0
Sue,3.5
Sueno,1.0
Suez,2.4
"Suffer, Little Children",2.0
Suffragette,3.5
Sugar,3.5
Sugar,3.0
Sugar,2.5
Sugar,3.0
Sugar & Spice,2.8
Sugar Cane Alley (Rue cases nègres),3.3
Sugar Coated,3.7
Sugar Cookies,2.8
"Sugar Curtain, The (El telón de azúcar)",3.2
Sugar Daddies,2.5
Sugar Daddy,2.5
Sugar High,3.0
Sugar Hill,2.7
Sugar Hill,2.9
Sugar Kisses,4.0
Sugar Mountain,3.0
Sugar Sand,2.5
Sugar Sweet,3.5
Sugar Town,3.0
"Sugar, Honey and Pepper",3.0
Sugarbaby,2.7
Sugarhouse,2.7
"Sugarland Express, The",3.4
Sugartime,4.0
Suhaag,1.2
Sui Dhaaga,3.2
Suicide Bus,3.2
Suicide Club,3.5
Suicide Club (Jisatsu saakuru),3.4
Suicide Dolls,5.0
Suicide Forest Village,2.2
Suicide Kale,2.2
Suicide Killers,4.5
Suicide Kings,3.5
Suicide Room,3.2
"Suicide Shop, The (Le magasin des suicides) (2012)",3.3
Suicide Squad,2.6
Suicide Squad: Hell to Pay,3.4
Suicide Tourist,3.1
Suicide by Sunlight,3.5
Suicide for Beginners,3.0
Suicide of Colonel Henry,2.8
SuicideGirls: Guide to Living,4.0
SuicideGirls: The First Tour,3.2
Suicides,2.9
Suing the Devil,1.6
"Suit for Wedding, A (a.k.a. The Wedding Suit) (Lebassi Baraye Arossi)",3.6
Suite 16,2.5
Suite Dreams,4.2
Suite Française,3.7
Suite Habana,3.2
Suited,3.8
"Suitor, The (Soupirant, Le)",3.6
Suits on the Loose,2.5
Sujata,3.0
Suk Suk,3.0
Sukeban Boy,2.8
Sukeban Deka,2.8
Sukeban Deka: Code Name = Saki Asamiya,1.9
Sukeban Deka: Counter Attack from the Kazama Sisters,2.5
Sukiyaki Western Django,3.0
Sukkubus,0.5
Suleiman Mountain,2.0
Sulemani Keeda,3.8
Sullivan's Banks,3.0
Sullivan's Travels,4.0
Sully,3.8
Sulphur and White,1.5
Sultan,3.3
Sultan,3.4
Sultry,4.0
"Sum of All Fears, The",3.2
"Sum of Us, The",3.7
Summer,3.8
Summer,4.0
Summer,2.9
Summer,3.6
Summer '03,2.8
Summer '82: When Zappa Came to Sicily,2.9
Summer 1993,3.7
Summer Camp,2.5
Summer Camp,2.8
Summer Camp Nightmare,2.8
Summer Catch,2.5
Summer City,2.7
Summer Coda,3.5
Summer Days With Coo,3.8
Summer Dreams: The Story of the Beach Boys,3.5
Summer Games,3.5
Summer Games,1.5
Summer Ghost,3.7
Summer Heights High,3.4
Summer Holiday,3.0
Summer Holiday,2.8
Summer Holiday,3.1
Summer Holiday,3.0
"Summer Hours (Heure d'été, L')",3.6
Summer House,2.5
Summer Interlude (Sommarlek),3.6
Summer Job,3.0
Summer Killer,1.0
Summer Love,3.8
Summer Love,4.2
Summer Lovers,2.9
Summer Magic,3.4
Summer Night,3.6
Summer Night in Town,3.0
"Summer Night, with Greek Profile, Almond Eyes and Scent of Basil",3.0
Summer Nights,2.5
Summer Nights,4.0
"Summer Of Soul (…Or, When The Revolution Could Not Be Televised)",3.7
Summer Palace (Yihe yuan),3.7
Summer Place Wanted,3.0
"Summer Place, A",3.2
Summer Rental,3.0
Summer School,3.1
Summer School Teachers,2.2
Summer Snow,3.5
Summer Soldiers,3.5
Summer Stock,3.4
Summer Storm,3.5
Summer Storm (Sommersturm),3.6
Summer Survivors,4.5
Summer Time Machine Blues,3.5
Summer Time: Travel Back,2.2
Summer Vacation 1999,4.0
Summer Villa,3.4
Summer Wars (Samâ wôzu),3.8
"Summer Wishes, Winter Dreams",3.4
Summer and Smoke,3.1
"Summer by the River, A (Kuningasjätkä)",3.0
Summer in Berlin (Sommer vorm Balkon),3.5
Summer in Bethlehem,4.0
Summer in February,2.3
Summer in the City,3.5
Summer in the Golden Valley,3.5
Summer in the Vineyard,4.3
Summer of '04 (Sommer '04),3.4
Summer of '42,3.5
Summer of '62 (Cartouches gauloises),3.5
Summer of '92,3.3
Summer of 8,3.5
Summer of 84,3.2
Summer of 85,3.7
Summer of Blood,2.7
Summer of Changsha,2.2
Summer of Dreams,5.0
Summer of Goliath,2.8
Summer of Mesa,2.0
Summer of Sam,3.1
Summer of the Monkeys,2.9
Summer to Remember,0
Summer with Hope,4.5
Summer with Monika (Sommaren med Monika),3.7
Summer's End,1.8
Summer's Moon,2.3
Summerfield,1.5
Summerhill,4.5
Summerhood,0
Summering,2.2
Summerland,3.4
Summerland,2.5
Summers Downstairs,3.0
Summers Past,2.0
Summertime,3.6
Summertime,2.7
Summertime,3.6
Summertime,2.8
Summertime,2.8
Summertime,2.0
Summertime,3.0
Summertime Blues,3.0
Summertime Killer,3.0
Summertree,3.0
Summit Fever,2.2
"Summit, The",3.5
Summoning Sylvia,2.5
"Sumo Do, Sumo Don't (Shiko funjatta)",3.2
Sumurun,3.2
Sun Alley (Sonnenallee),3.5
"Sun Also Rises, The",3.2
